Channel,Season,Status,Color Choice,Gender,Product Line,Product Class,Product Sub Class,Silhouette,Style Code,Style Name,Color,Size Scale,SILHOUETTE USED FOR SIZING,Size Weight Code,,
Ecomm,FAHO25,Active,VW4103ARM,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4103,Birch Jogger,Army,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4103SCL,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4103,Birch Jogger,Silver Cloud,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4103SEB,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4103,Birch Jogger,Slate Blue,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4103VBK,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4103,Birch Jogger,Vintage Black,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW457HBK,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW457,Boyfriend Sweatpant,Black Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW457HTG,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW457,Boyfriend Sweatpant,Heather Grey,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4442HBK,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4442,Granite Classic Sweatpant,Black Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4442HZH,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4442,Granite Classic Sweatpant,Blue Haze Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4442HOM,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4442,Granite Classic Sweatpant,Oatmeal Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4442HTO,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4442,Granite Classic Sweatpant,Olive Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4190-LHHI,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4190-L,Halo Modern Sweatpant - Long,Chia Heather,XS-XL,JOGGER,WNUSECJOGGERS,,
Ecomm,FAHO25,Active,VW4190-LSBK,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4190-L,Halo Modern Sweatpant - Long,Solid Black,XS-XL,JOGGER,WNUSECJOGGERS,,
Ecomm,FAHO25,Active,VW4190-SHHI,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4190-S,Halo Modern Sweatpant - Short,Chia Heather,XS-XL,JOGGER,WNUSECJOGGERS,,
Ecomm,FAHO25,Active,VW4190-SSBK,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4190-S,Halo Modern Sweatpant - Short,Solid Black,XS-XL,JOGGER,WNUSECJOGGERS,,
Ecomm,FAHO25,Active,VW4190BIH,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4190,Halo Modern Sweatpant,Bright Iris Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4190HHI,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4190,Halo Modern Sweatpant,Chia Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4190RSN,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4190,Halo Modern Sweatpant,Raisin,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4190SBK,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4190,Halo Modern Sweatpant,Solid Black,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303HBK,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303,Performance Jogger,Black Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303HCC,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303,Performance Jogger,Charcoal Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303HEE,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303,Performance Jogger,Ecru Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303HHB,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303,Performance Jogger,Huckleberry Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303-LHBK,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303-L,Performance Jogger-Long,Black Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303-LHCC,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303-L,Performance Jogger-Long,Charcoal Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303-LHEE,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303-L,Performance Jogger-Long,Ecru Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303-LHHB,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303-L,Performance Jogger-Long,Huckleberry Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303-LHMN,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303-L,Performance Jogger-Long,Magenta Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303-LHMD,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303-L,Performance Jogger-Long,Midnight Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303-LPHG,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303-L,Performance Jogger-Long,Pale Grey Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303-LRSN,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303-L,Performance Jogger-Long,Raisin,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303-LHSS,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303-L,Performance Jogger-Long,Sea Spray Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303-LSYH,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303-L,Performance Jogger-Long,Stellar Sky Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303HMN,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303,Performance Jogger,Magenta Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303HMD,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303,Performance Jogger,Midnight Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303PHG,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303,Performance Jogger,Pale Grey Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303RSN,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303,Performance Jogger,Raisin,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303HSG,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303,Performance Jogger,Sea Glass Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303HSS,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303,Performance Jogger,Sea Spray Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW303SYH,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW303,Performance Jogger,Stellar Sky Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4401BHZ,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4401,Restore Classic Sweatpant,Blue Haze,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4401CRR,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4401,Restore Classic Sweatpant,Cherry,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4401EVG,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4401,Restore Classic Sweatpant,Evergreen,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4401PHG,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4401,Restore Classic Sweatpant,Pale Grey Heather,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4401RUM,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4401,Restore Classic Sweatpant,Rum,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4401WBL,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4401,Restore Classic Sweatpant,Washed Black,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4202BLK,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4202,Sedona Sweatpant,Black,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4202BGR,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4202,Sedona Sweatpant,Bluegrass,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4202BNE,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4202,Sedona Sweatpant,Bone,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW4202LHG,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW4202,Sedona Sweatpant,Light Heather Grey,XXS-XXL,JOGGER,WNUSECJOGGERS Ext.,,
Ecomm,FAHO25,Active,VW422BLK,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW422,Weekend Jogger,Black,XS-XL,JOGGER,WNUSECJOGGERS,,
Ecomm,FAHO25,Active,VW422KLE,WOMENS,APPAREL,BOTTOMS,JOGGERS,JOGGER,VW422,Weekend Jogger,Kale,XS-XL,JOGGER,WNUSECJOGGERS,,
Ecomm,FAHO25,Active,VW4028LAG,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4028,Chilled Out Legging,Lagoon,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4028OLV,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4028,Chilled Out Legging,Olive,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4028VDV,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4028,Chilled Out Legging,Vivid Violet,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
Ecomm,FAHO25,Active,VW4028WBL,WOMENS,APPAREL,BOTTOMS,LEGGINGS,LEGGING,VW4028,Chilled Out Legging,Washed Black,XXS-XXL,LEGGING,WNUSECLEGGINGS Ext.,,
