Season,SCALECODE,CONFIGURATION,SIZEVALUEID,QUANTITY,QUANTITYDISTRIBUTIONMETHOD,SCALEDESCRIPTION,SIZERANGEID,Percent
FAHO25,Bags,,ONS,100,Percent,Bags,ONS,100%
FAHO25,Headwear,,ONS,100,Percent,Headwear,ONS,100%
FAHO25,MNUSEC E SHORT 9IN,,L,28,Percent,Mens US EC Elastic Shorts 9IN,MSB,28%
FAHO25,MNUSEC E SHORT 9IN,,M,46,Percent,Mens US EC Elastic Shorts 9IN,MSB,46%
FAHO25,MNUSEC E SHORT 9IN,,S,6,Percent,Mens US EC Elastic Shorts 9IN,MSB,6%
FAHO25,MNUSEC E SHORT 9IN,,XL,15,Percent,Mens US EC Elastic Shorts 9IN,MSB,15%
FAHO25,MNUSEC E SHORT 9IN,,XS,1,Percent,Mens US EC Elastic Shorts 9IN,MSB,1%
FAHO25,MNUSEC E SHORT 9IN,,XXL,4,Percent,Mens US EC Elastic Shorts 9IN,MSB,4%
FAHO25,MNUSEC E SHORT 9IN,,XXS,0,Percent,Mens US EC Elastic Shorts 9IN,MSB,0%
FAHO25,"MNUSEC JOGGER 28""",,L,38,Percent,"Mens US Ecomm JOGGER 28""",MSB,38%
FAHO25,"MNUSEC JOGGER 28""",,M,34,Percent,"Mens US Ecomm JOGGER 28""",MSB,34%
FAHO25,"MNUSEC JOGGER 28""",,S,9,Percent,"Mens US Ecomm JOGGER 28""",MSB,9%
FAHO25,"MNUSEC JOGGER 28""",,XL,14,Percent,"Mens US Ecomm JOGGER 28""",MSB,14%
FAHO25,"MNUSEC JOGGER 28""",,XS,2,Percent,"Mens US Ecomm JOGGER 28""",MSB,2%
FAHO25,"MNUSEC JOGGER 28""",,XXL,3,Percent,"Mens US Ecomm JOGGER 28""",MSB,3%
FAHO25,"MNUSEC JOGGER 28""",,XXS,0,Percent,"Mens US Ecomm JOGGER 28""",MSB,0%
FAHO25,"MNUSEC JOGGER 30""",,L,41,Percent,"Mens US Ecomm JOGGER 30""",MSB,41%
FAHO25,"MNUSEC JOGGER 30""",,M,28,Percent,"Mens US Ecomm JOGGER 30""",MSB,28%
FAHO25,"MNUSEC JOGGER 30""",,S,6,Percent,"Mens US Ecomm JOGGER 30""",MSB,6%
FAHO25,"MNUSEC JOGGER 30""",,XL,19,Percent,"Mens US Ecomm JOGGER 30""",MSB,19%
FAHO25,"MNUSEC JOGGER 30""",,XS,1,Percent,"Mens US Ecomm JOGGER 30""",MSB,1%
FAHO25,"MNUSEC JOGGER 30""",,XXL,5,Percent,"Mens US Ecomm JOGGER 30""",MSB,5%
FAHO25,"MNUSEC JOGGER 30""",,XXS,0,Percent,"Mens US Ecomm JOGGER 30""",MSB,0%
FAHO25,MNUSEC SHIRT JKTS,,3XL,0,Percent,Mens US Ecomm SHIRT JKTS,MST,0%
FAHO25,MNUSEC SHIRT JKTS,,L,38,Percent,Mens US Ecomm SHIRT JKTS,MST,38%
FAHO25,MNUSEC SHIRT JKTS,,M,28,Percent,Mens US Ecomm SHIRT JKTS,MST,28%
FAHO25,MNUSEC SHIRT JKTS,,S,8,Percent,Mens US Ecomm SHIRT JKTS,MST,8%
FAHO25,MNUSEC SHIRT JKTS,,XL,20,Percent,Mens US Ecomm SHIRT JKTS,MST,20%
FAHO25,MNUSEC SHIRT JKTS,,XS,0,Percent,Mens US Ecomm SHIRT JKTS,MST,0%
FAHO25,MNUSEC SHIRT JKTS,,XXL,6,Percent,Mens US Ecomm SHIRT JKTS,MST,6%
FAHO25,MNUSEC SHIRT JKTS,,XXS,0,Percent,Mens US Ecomm SHIRT JKTS,MST,0%
FAHO25,MNUSEC SNOW PANTS,,L,36,Percent,US EC Snow Pants,MSB,36%
FAHO25,MNUSEC SNOW PANTS,,M,32,Percent,US EC Snow Pants,MSB,32%
FAHO25,MNUSEC SNOW PANTS,,S,10,Percent,US EC Snow Pants,MSB,10%
FAHO25,MNUSEC SNOW PANTS,,XL,17,Percent,US EC Snow Pants,MSB,17%
FAHO25,MNUSEC SNOW PANTS,,XS,0,Percent,US EC Snow Pants,MSB,0%
FAHO25,MNUSEC SNOW PANTS,,XXL,5,Percent,US EC Snow Pants,MSB,5%
FAHO25,MNUSEC SNOW PANTS,,XXS,0,Percent,US EC Snow Pants,MSB,0%
FAHO25,MNUSEC VESTS EXT,,3XL,0,Percent,Men s US Ecomm VESTS Extended,MST,0%
FAHO25,MNUSEC VESTS EXT,,L,38,Percent,Men s US Ecomm VESTS Extended,MST,38%
FAHO25,MNUSEC VESTS EXT,,M,26,Percent,Men s US Ecomm VESTS Extended,MST,26%
FAHO25,MNUSEC VESTS EXT,,S,7,Percent,Men s US Ecomm VESTS Extended,MST,7%
FAHO25,MNUSEC VESTS EXT,,XL,22,Percent,Men s US Ecomm VESTS Extended,MST,22%
FAHO25,MNUSEC VESTS EXT,,XS,0,Percent,Men s US Ecomm VESTS Extended,MST,0%
FAHO25,MNUSEC VESTS EXT,,XXL,7,Percent,Men s US Ecomm VESTS Extended,MST,7%
FAHO25,MNUSEC VESTS EXT,,XXS,0,Percent,Men s US Ecomm VESTS Extended,MST,0%
FAHO25,MNUSECBOARDSHORTS EXT,,28,1,Percent,Mens US Ecomm BOARDSHORTS EXT,MFB,1%
FAHO25,MNUSECBOARDSHORTS EXT,,30,9,Percent,Mens US Ecomm BOARDSHORTS EXT,MFB,9%
FAHO25,MNUSECBOARDSHORTS EXT,,31,8,Percent,Mens US Ecomm BOARDSHORTS EXT,MFB,8%
